
Final result 1 [0, 10]: 930 / 1000
Final result 2 [10, 20]: 833 / 1000
Final result 2 [0, 10]: 824 / 1000
Final result 3 [20, 30]: 894 / 1000
Final result 3 [10, 20]: 703 / 1000
Final result 3 [0, 10]: 809 / 1000
Final result 4 [30, 40]: 833 / 1000
Final result 4 [20, 30]: 770 / 1000
Final result 4 [10, 20]: 641 / 1000
Final result 4 [0, 10]: 742 / 1000
Final result 5 [40, 50]: 853 / 1000
Final result 5 [30, 40]: 723 / 1000
Final result 5 [20, 30]: 724 / 1000
Final result 5 [10, 20]: 600 / 1000
Final result 5 [0, 10]: 725 / 1000
Final result 6 [50, 60]: 795 / 1000
Final result 6 [40, 50]: 753 / 1000
Final result 6 [30, 40]: 664 / 1000
Final result 6 [20, 30]: 705 / 1000
Final result 6 [10, 20]: 571 / 1000
Final result 6 [0, 10]: 693 / 1000
Final result 7 [60, 70]: 805 / 1000
Final result 7 [50, 60]: 711 / 1000
Final result 7 [40, 50]: 703 / 1000
Final result 7 [30, 40]: 625 / 1000
Final result 7 [20, 30]: 697 / 1000
Final result 7 [10, 20]: 549 / 1000
Final result 7 [0, 10]: 689 / 1000
Final result 8 [70, 80]: 668 / 1000
Final result 8 [60, 70]: 745 / 1000
Final result 8 [50, 60]: 617 / 1000
Final result 8 [40, 50]: 679 / 1000
Final result 8 [30, 40]: 579 / 1000
Final result 8 [20, 30]: 697 / 1000
Final result 8 [10, 20]: 538 / 1000
Final result 8 [0, 10]: 666 / 1000
Final result 9 [80, 90]: 731 / 1000
Final result 9 [70, 80]: 628 / 1000
Final result 9 [60, 70]: 691 / 1000
Final result 9 [50, 60]: 582 / 1000
Final result 9 [40, 50]: 649 / 1000
Final result 9 [30, 40]: 580 / 1000
Final result 9 [20, 30]: 668 / 1000
Final result 9 [10, 20]: 503 / 1000
Final result 9 [0, 10]: 633 / 1000
Final result 10 [90, 100]: 752 / 1000
Final result 10 [80, 90]: 705 / 1000
Final result 10 [70, 80]: 596 / 1000
Final result 10 [60, 70]: 670 / 1000
Final result 10 [50, 60]: 543 / 1000
Final result 10 [40, 50]: 642 / 1000
Final result 10 [30, 40]: 557 / 1000
Final result 10 [20, 30]: 641 / 1000
Final result 10 [10, 20]: 499 / 1000
Final result 10 [0, 10]: 610 / 1000
